Symbol,LTP,Percentage Change,Volume
ACLBSL,951.5,-8.5,3238.0
ADBL,304.0,-2.9,28495.0
ADBLD83,1051.0,4.7,101.0
AHL,552.0,5.8,6755.0
AHPC,267.0,0.3,90545.0
AKJCL,244.0,11.9,1694796.0
AKPL,255.0,0.4,139766.0
ALBSL,1207.9,29.9,33812.0
ALICL,488.0,0.3,34582.0
ANLB,6020.0,-1.0,194.0
API,298.0,2.1,216291.0
AVYAN,963.0,4.0,5793.0
BANDIPUR,980.0,75.0,301445.0
BARUN,342.0,11.0,313975.0
BBC,4801.0,-59.0,1078.0
BEDC,528.5,-1.5,22141.0
BFC,497.2,13.2,50215.0
BGWT,775.0,-10.0,7519.0
BHCL,589.8,9.8,138314.0
BHDC,479.0,10.0,43874.0
BHL,191.5,6.0,257754.0
BHPL,557.9,-0.1,51535.0
BNHC,506.1,23.4,49458.0
BNL,15661.2,-318.8,30.0
BNT,11900.0,-150.0,59.0
BPCL,795.0,-11.0,187348.0
BUNGAL,710.0,20.8,135587.0
C30MF,9.5,-0.13,33862.0
CBBL,959.0,14.0,15234.0
CCBD88,1182.0,-9.1,25.0
CFCL,570.0,26.1,102757.0
CGH,877.5,-1.4,24594.0
CHCL,473.1,-3.7,28659.0
CHDC,2435.0,-5.0,34003.0
CHL,279.5,2.5,60951.0
CIT,1775.0,-1.9,6255.0
CITY,481.0,-4.0,11589.0
CKHL,677.0,4.0,5672.0
CLI,476.0,1.4,19471.0
CMF2,9.9,-0.2,200.0
CORBL,1775.3,161.3,13355.0
CREST,1360.0,55.0,50958.0
CYCL,1573.9,32.9,7271.0
CZBIL,198.0,0,16514.0
DDBL,850.0,8.7,4282.0
DHEL,689.9,30.9,118951.0
DHPL,305.5,4.5,21697.0
DLBS,1356.6,-3.3,1115.0
DOLTI,514.0,0,4551.0
DORDI,289.1,3.7,247766.0
EBL,671.0,-2.0,19126.0
EBLEB89,1059.0,-4.3,100.0
EDBL,668.0,60.0,69558.0
EHPL,411.0,1.0,52174.0
ENL,917.0,6.7,3635.0
FMDBL,816.1,-18.9,41537.0
FOWAD,1117.0,17.1,6138.0
GBBD85,1065.1,-2.9,90.0
GBBL,403.0,3.0,31996.0
GBILD84/85,1170.0,0,235.0
GBIME,228.0,-0.9,69966.0
GBIMESY2,9.03,0,3780.0
GBLBS,790.0,-10.0,7279.0
GCIL,435.0,1.0,27926.0
GFCL,722.0,37.0,86514.0
GHL,234.0,4.0,174514.0
GIBF1,10.75,0.19,26030.0
GILB,1180.0,1.0,4296.0
GLBSL,2059.0,-32.2,3418.0
GLH,264.9,6.9,54841.0
GMFBS,1510.0,0,2144.0
GMFIL,489.9,11.9,49350.0
GMLI,1774.0,16.2,4217.0
GRDBL,1127.5,-17.5,17812.0
GSY,9.21,0.04,82936.0
GUFL,606.0,-13.9,138626.0
GVL,515.0,-1.0,139871.0
H8020,11.51,-0.09,10200.0
HATHY,920.0,4.0,12579.0
HBL,193.8,-0.1,57526.0
HDHPC,194.8,7.8,331753.0
HDL,1152.2,-5.8,71904.0
HEI,523.9,0.9,5507.0
HEIP,316.3,-6.0,2020.0
HHL,336.9,0.9,26303.0
HIDCL,265.3,1.2,110713.0
HIDCLP,191.9,1.4,276288.0
HIMSTAR,950.0,50.0,63128.0
HLBSL,915.0,1.3,845.0
HLI,375.0,-1.0,57181.0
HPPL,477.1,2.0,62608.0
HRL,894.9,5.0,145601.0
HURJA,237.5,7.6,199696.0
ICFC,695.0,4.0,103245.0
ICFCD83,1119.0,-1.0,110.0
IGI,436.0,6.0,20687.0
IHL,545.0,-3.0,18513.0
ILBS,1001.0,-9.0,9919.0
ILI,451.0,-2.0,14404.0
JBBL,364.5,10.5,308564.0
JBLB,1321.0,-11.0,10892.0
JFL,458.0,7.0,23206.0
JHAPA,1599.9,124.9,48436.0
JOSHI,300.0,13.3,123773.0
JSLBB,1188.0,9.0,570.0
KBL,184.8,-1.1,139385.0
KBLD89,1274.0,-25.0,25.0
KBSH,1713.6,42.6,315.0
KDBY,9.93,0.07,34029.0
KDL,799.0,-0.9,4627.0
KEF,9.25,-0.21,6250.0
KKHC,230.2,2.4,141855.0
KMCDB,960.2,8.2,9323.0
KPCL,586.9,-39.1,194616.0
KSBBL,472.9,-3.1,40338.0
KSY,9.26,-0.07,2500.0
LBBL,498.0,-2.0,169497.0
LBBLD89,1277.0,2.9,100.0
LEC,219.9,13.0,798119.0
LICN,874.9,4.7,12287.0
LLBS,1008.0,15.1,1675.0
LSL,219.5,0.5,50893.0
LUK,10.18,-0.07,33500.0
LVF2,9.6,-0.01,3920.0
MABEL,756.0,20.0,45011.0
MAKAR,540.0,-9.0,4091.0
MANDU,852.1,-15.9,5425.0
MATRI,995.0,2.0,971.0
MBJC,292.0,1.0,15692.0
MBL,230.0,0,38213.0
MBLD2085,1150.0,0,5.0
MBLEF,9.73,0.01,24700.0
MCHL,422.0,-5.8,10322.0
MDB,638.0,5.4,43057.0
MEHL,449.0,9.0,25395.0
MEL,280.1,1.2,37359.0
MEN,605.0,3.7,89865.0
MERO,775.0,14.0,14711.0
MFIL,834.0,14.0,439358.0
MFLD85,1155.0,4.0,25.0
MHCL,390.0,5.3,11097.0
MHL,540.0,10.0,60920.0
MHNL,268.9,16.4,70480.0
MKCL,1417.0,-1.0,3322.0
MKHC,343.9,6.7,18063.0
MKHL,792.0,-14.4,21515.0
MKJC,515.4,-11.9,55446.0
MLBBL,1335.0,-15.0,4502.0
MLBL,382.8,0.9,44090.0
MLBS,1450.0,-5.0,2568.0
MLBSL,1959.0,4.1,1540.0
MMF1,8.71,-0.04,7830.0
MMKJL,580.3,-5.7,79031.0
MNBBL,388.0,16.1,88444.0
MNMF1,9.21,0.05,100103.0
MPFL,673.7,23.3,72481.0
MSHL,825.0,5.9,3682.0
MSLB,1326.0,11.0,1537.0
NABBC,1528.0,-10.0,63480.0
NABIL,493.1,-3.0,63230.0
NADEP,820.0,1.7,4552.0
NBF2,9.77,0,7555.0
NBF3,9.33,0.13,128888.0
NBL,246.9,-2.1,48404.0
NESDO,1570.0,5.0,2672.0
NFS,675.8,15.9,66136.0
NGPL,408.0,1.5,253707.0
NHDL,695.0,6.0,9663.0
NHPC,214.1,9.0,343468.0
NIBD2082,1043.6,-21.2,5.0
NIBLGF,8.9,0.09,17000.0
NIBLSTF,8.64,-0.11,4210.0
NIBSF2,8.7,0.06,30600.0
NICA,341.9,-0.1,71540.0
NICBF,9.13,0.05,9000.0
NICFC,9.1,-0.17,7100.0
NICGF2,9.08,-0.07,800.0
NICL,513.0,-1.0,10800.0
NICLBSL,573.0,-2.0,7424.0
NICSF,8.8,0,22120.0
NIFRA,266.0,0,156183.0
NIL,645.9,0.9,12035.0
NIMB,196.0,1.0,65476.0
NIMBPO,157.2,0,535.0
NLG,684.1,-10.9,12714.0
NLIC,790.0,1.1,40242.0
NLICL,596.0,-3.0,17586.0
NMB,241.5,-1.0,31063.0
NMB50,10.26,-0.05,600.0
NMBHF2,9.4,-0.1,15442.0
NMBMF,684.1,-11.9,7053.0
NMFBS,1130.0,-1.0,4149.0
NMIC,1316.0,49.8,41471.0
NMLBBL,669.9,21.9,65392.0
