symbol,ltp,percentageChange,volume
ACLBSL,936.0,1.0,775.0
ADBL,300.0,0.3,39057.0
ADBLD83,1114.8,21.8,100.0
AHL,551.0,-12.9,7287.0
AHPC,257.1,0.2,82839.0
AKJCL,205.9,7.7,297985.0
AKPL,249.5,2.6,77940.0
ALBSL,1196.1,-8.9,11834.0
ALICL,471.9,6.9,50286.0
ANLB,6100.0,0,2169.0
API,285.5,-0.4,74785.0
AVYAN,946.0,1.0,3803.0
BANDIPUR,833.0,13.0,214428.0
BARUN,318.5,-1.1,82091.0
BBC,4865.0,-15.0,390.0
BEDC,539.8,6.6,6117.0
BFC,465.0,-2.0,9555.0
BGWT,762.1,-5.4,2118.0
BHCL,533.0,20.0,113701.0
BHDC,467.0,-1.7,15777.0
BHL,180.8,4.4,151089.0
BHPL,555.0,14.0,211257.0
BNHC,450.0,-5.0,10527.0
BNT,11999.9,199.9,210.0
BPCL,764.0,7.1,116648.0
BUNGAL,637.5,-12.6,150364.0
C30MF,9.58,0.07,24650.0
CBBL,918.0,-1.0,15537.0
CCBD88,1255.1,0,25.0
CFCL,501.8,6.6,26423.0
CGH,852.0,0,7288.0
CHCL,470.9,-0.1,51571.0
CHDC,2244.0,-0.7,12804.0
CHL,259.0,4.2,60322.0
CIT,1779.0,-1.0,3923.0
CITY,472.0,-2.0,8899.0
CIZBD86,1202.0,-13.0,15.0
CKHL,666.0,14.9,7920.0
CLI,479.0,-0.9,33195.0
CMF2,9.23,-0.29,16100.0
CORBL,1574.0,4.0,4798.0
CREST,1226.0,-21.7,9157.0
CYCL,1527.9,12.9,1089.0
CZBIL,197.4,-1.5,12427.0
DDBL,818.8,3.8,9117.0
DHEL,649.8,22.8,85496.0
DHPL,294.0,3.0,11235.0
DLBS,1321.0,-16.0,267.0
DOLTI,509.9,-2.0,4901.0
DORDI,254.3,1.3,43541.0
EBL,661.0,3.0,24336.0
EBLD85,1221.0,0,175.0
EBLEB89,1084.0,1.0,25.0
EDBL,601.0,6.0,13155.0
EHPL,406.0,4.0,32623.0
ENL,903.0,0,1070.0
FMDBL,803.0,-12.0,57214.0
FOWAD,1090.0,9.0,2847.0
GBBD85,1103.0,-15.0,85.0
GBBL,390.3,2.3,29761.0
GBIME,228.0,0,60878.0
GBIMESY2,9.1,0.19,2210.0
GBLBS,769.0,-3.2,7224.0
GCIL,420.0,-4.8,26830.0
GFCL,624.9,-13.1,46772.0
GHL,211.6,0.7,62160.0
GIBF1,10.45,0.07,12155.0
GILB,1150.0,-8.0,1679.0
GLBSL,1920.1,9.0,1153.0
GLH,246.0,1.5,17731.0
GMFBS,1480.4,-38.5,759.0
